type,year,quarter,category,count,amount,brand,percentage
user,,,,30911,,Realme,0.057078860823305
user,,,,15554,,OnePlus,0.0287213160766615
user,,,,8378,,Motorola,0.0154704375781323
user,,,,5812,,Huawei,0.0107321775130228
user,,,,4529,,HMD Global,0.008363047480468
user,,,,32951,,Others,0.0608458329717163
user,,,,161753,,Xiaomi,0.238130149883035
user,,,,125715,,Samsung,0.1850755892783796
user,,,,103265,,Vivo,0.1520250624573987
user,,,,62998,,Oppo,0.0927446364662877
user,,,,53452,,Micromax,0.0786911696942126
user,,,,40116,,Realme,0.059058126233874
user,,,,15860,,OnePlus,0.023348835428987
user,,,,15418,,Apple,0.0226981301793267
user,,,,13258,,Lenovo,0.0195182131221632
user,,,,12182,,Motorola,0.0179341433288726
user,,,,75246,,Others,0.1107759439274625
user,,,,229221,,Xiaomi,0.2411139453546164
user,,,,174661,,Samsung,0.1837231440818366
user,,,,152196,,Vivo,0.1600925658085044
user,,,,90864,,Oppo,0.0955784048176295
user,,,,73053,,Micromax,0.0768432955531596
user,,,,54968,,Realme,0.0578199700213006
user,,,,20055,,Apple,0.0210955373813343
user,,,,19998,,OnePlus,0.0210355799826439
user,,,,17504,,Lenovo,0.0184121808188918
user,,,,16136,,Motorola,0.0169732032503221
user,,,,102019,,Others,0.1073121729297604
user,,,,298538,,Xiaomi,0.2451469544881227
user,,,,222989,,Samsung,0.1831092666071053
user,,,,205795,,Vivo,0.168990270916544
user,,,,119608,,Oppo,0.0982171011141475
user,,,,92998,,Micromax,0.0763660789363044
user,,,,70527,,Realme,0.0579138309333613
user,,,,23810,,OnePlus,0.019551778957326
user,,,,23566,,Apple,0.0193514163338238
user,,,,19369,,Motorola,0.0159050149779272
user,,,,18890,,Lenovo,0.0155116801555602
user,,,,121702,,Others,0.0999366065797771
user,,,,378100,,Xiaomi,0.2393041003849371
user,,,,280138,,Samsung,0.177302756079438
user,,,,275135,,Vivo,0.1741362963750587
user,,,,155513,,Oppo,0.0984260739570556
user,,,,154018,,Micromax,0.0974798702276838
user,,,,91037,,Realme,0.0576184273650979
user,,,,28128,,Apple,0.0178025541804483
user,,,,27785,,OnePlus,0.0175854652980573
user,,,,22980,,Motorola,0.0145443222080027
user,,,,22246,,Lenovo,0.0140797646579299
user,,,,144918,,Others,0.0917203692662902
user,,,,454437,,Xiaomi,0.2380624842186434
user,,,,344150,,Vivo,0.1802872652179425
user,,,,336551,,Samsung,0.1763064343930372
user,,,,192191,,Oppo,0.1006816498314734
user,,,,187241,,Micromax,0.0980885306600981
user,,,,109520,,Realme,0.0573734164947524
user,,,,32769,,Apple,0.0171664489145045
user,,,,31894,,OnePlus,0.0167080692629988
user,,,,25968,,Motorola,0.0136036603317725
user,,,,24737,,Lenovo,0.0129587856449113
user,,,,169440,,Others,0.0887632550298654
user,,,,521922,,Xiaomi,0.2382045999527171
user,,,,406013,,Vivo,0.1853038657895289
user,,,,388144,,Samsung,0.1771484747606872
user,,,,225563,,Oppo,0.1029466935272602
user,,,,208017,,Micromax,0.0949387193265743
user,,,,126313,,Realme,0.0576491077858905
user,,,,37139,,Apple,0.0169501968448234
user,,,,35168,,OnePlus,0.016050634713879
user,,,,28701,,Motorola,0.0130991033588216
user,,,,27225,,Lenovo,0.012425458658023
user,,,,186861,,Others,0.0852831452817943
user,,,,582178,,Xiaomi,0.2390817795715749
user,,,,463726,,Vivo,0.1904373530322481
user,,,,424913,,Samsung,0.1744981023039287
user,,,,254200,,Oppo,0.1043917639744104
user,,,,225367,,Micromax,0.0925509782518527
user,,,,145376,,Realme,0.0597012473624858
user,,,,40822,,Apple,0.0167642824113429
user,,,,38300,,OnePlus,0.0157285781283238
user,,,,30550,,Motorola,0.0125459023973966
user,,,,26475,,Lenovo,0.0108724309646833
user,,,,203151,,Others,0.0834275816017524
